Project ID,Project Name,Country / Economy,Type,Project Type / Modality of Assistance,Project Status,Some ID,Approval,Approval1,Some Number,Geographical Location,Sector / Subsector,W,X,Y,Z,Responsible ADB Department,Executing Agencies,Responsible ADB Officer,A,B,C,ADB URL,Project Link,Description,link_visited_already
52023-001,Henan Dengzhou Integrated River Restoration and Ecological Protection Project,"China, People's Republic of",Sovereign,Loan,Active,3865,26/11/2019,11/26/19,"200,000,000.00",Henan,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Forestry | Rural sanitation | Rural water supply services | Water-based natural resources management | Urban sewerage,B,B,A,Sectors Group,Dengzhou City Government,"Yang, Xiaoyan",,,,https://www.adb.org/projects/52023-001/main,https://www.adb.org/projects/52023-001/main,"The project will implement integrated water resources management (IWRM) focusing on upstreamdownstream linkages and urbanrural integration for the restoration of the Tuan River. The project design will incorporate lessons from previous ADB-financed projects and policy-oriented studies on IWRM, environmental and ecosystem improvement, wetland and lake management and restoration, and urbanrural integration in the PRC and other developing member countries. The project will have three outputs: (i) urban and rural water infrastructure in Dengzhou City improved; (ii) ecological zones in Han River restored; and (iii) water resources management capacity enhanced. These outputs will result in the following outcome: water security and environmental sustainability in Dengzhou City improved. The project will have the following impact: living standards in the Yangtze River Economic Belt improved (Yangtze River Economic Belt Development Plan, 20162030)",TRUE
48275-001,Improved Investment Climate for Mineral Sector Development in Pakistan,Pakistan,Sovereign,Technical Assistance,Closed,8735,16/09/2014,9/16/14,"225,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,Central and West Asia Department,Ministry of Petroleum and Natural Resources,"Ali, Shauzab",,,,https://www.adb.org/projects/48275-001/main,https://www.adb.org/projects/48275-001/main,"Impact and Outcome The impact of the S-PATA will be improved climate for foreign and domestic investment into the mineral sector in Pakistan with a focus on Balochistan. The outcome of the S-PATA will be identification of measures that will improve rules on mining investment, licensing and revenue sharing. Outputs The S-PATA will have three outputs. These will be developed in consultation with the Pakistan Extractives Working Group (PEWG), presented at a high level meeting with federal and provincial governments and other key stakeholders, and used to prepare a guide for possible future technical assistance provided on a multi-donor basis. 1)Government capacity to manage and address issues relating to mining leases and mine development. This output will be delivered by implementing the following activities: (i) review current mining contracts used in Balochistan and identify key issues which constrain mine development or have in the past or could in the foreseeable future result in disagreement or dispute; (ii) identify international best practice which could help the GOP and GOB address these issues; (iii) provide samples of mining contracts which have been successfully negotiated following international best practice and the Extractive Industries Source Book (EI Source Book) ; and (iv) in general, explain how international best practice and the sample mining contracts can be adapted and used to set a high standard for mining projects in Balochistan and other provinces. 2)Improved and more transparent licensing process. This output will be delivered by implementing the following activities: (i) review the current legal framework in Balochistan for the issuance of exploration licenses and mining licenses; (ii) compare this to international best practice and what is recommended in the EI Source Book; and (iii) identify changes to the legal framework which will mitigate the risk of arbitrary, discretionary regulatory decisions. 3)Transparent resource revenue management. This output will be delivered by implementing the following activities: (i) review of existing fiscal and procedural rules and mechanisms in Pakistan which allocate mineral sector rents, royalties, taxes, duties and other revenues between (a) current consumption and long term savings, and (b) federal, provincial and local governments, local communities/beneficiaries and other stakeholders; (ii) compare these to international best practice and what is recommended in the EI Source Book; and (iii) identify changes to the rules and other mechanisms which would increase transparency, accountability and fairness for current and future generations.",TRUE
37091-013,MFF - Agribusiness Infrastructure Development Investment Program (Facility),India,Sovereign,Loan,Closed,45,16/09/2010,9/16/10,"170,000,000.00",,"Agriculture, natural resources and rural development",,C,,,South Asia Department,,"Ranawana, Sanath",,,,https://www.adb.org/projects/37091-013/main,https://www.adb.org/projects/37091-013/main,"The proposed Project seeks to enhance income and employment opportunities through increased and sustainable commercialization of agriculture and development of agribusiness. It aims to diversify agricultural production and enhance value added in the marketing system. It will aim to improve business practices that are critical to agribusiness development, and the potential for business profit will be critical to the improvement of business practices. The project will comprise five components that will be implemented in the selected states which were covered by the detailed feasibility study, and for selected horticultural value chains: (i) marketing intelligence; (ii) technology dissemination and development; (iii) value-chain linkage development; (iv) market infrastructure development; and project management.",TRUE
44182-012,Climate Resiliency for Natural Resources Investments,Tajikistan,Sovereign,Technical Assistance,Closed,7599,16/09/2010,9/16/10,0,,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Land-based natural resources management | Rural flood protection | Water-based natural resources management",,,,Central and West Asia Department,Asian Development Bank,"Takaku-Bessho, Ryutaro",,,,https://www.adb.org/projects/44182-012/main,https://www.adb.org/projects/44182-012/main,"The objective is to pilot and demonstrate ways to integrate climate risk and resilience into core development planning, while complementing other ongoing activities. The Pilot Program for Climate Resilience (PPCR) has two Phases. Phase 1 will develop a common vision of climate resilience in the medium- and long-term and formulate a strategic program for climate resilience (SPCR), including the outline of an underlying investment program. Phase 2 will implement the SPCR through support to policy reform, institutional capacity building, and the scaling-up of investments in key sectors.",TRUE
36441-012,Environmental Monitoring and Information Management System for Sustainable Land Use,Kazakhstan,Sovereign,Technical Assistance,Closed,4375,16/08/2004,8/16/04,"600,000.00",,"Agriculture, natural resources and rural development",Land-based natural resources management,,,,Central and West Asia Department,Ministry of Natural Res. & Env't Protection (old),"Everitt, Robert",,,,https://www.adb.org/projects/36441-012/main,https://www.adb.org/projects/36441-012/main,,TRUE
38071-012,Capacity Building for the Tonle Sap Poverty Reduction Initiative,Cambodia,Sovereign,Technical Assistance,Closed,4376,16/08/2004,8/16/04,0,,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Southeast Asia Department,Asian Development Bank,"Serrat, Olivier D.",,,,https://www.adb.org/projects/38071-012/main,https://www.adb.org/projects/38071-012/main,,TRUE
33249-012,Eastern Province Coastal Community Development Project,Sri Lanka,Sovereign,Technical Assistance,Closed,3479,16/08/2000,8/16/00,"1,000,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,B,,,South Asia Department,Ministry of Fisheries and Aquatic Resources (formerly Ministry of Fisheries and Aquatic Resources Development and Rural Economic Affairs),"Rajendran, C. R.",,,,https://www.adb.org/projects/33249-012/main,https://www.adb.org/projects/33249-012/main,The TA will prepare a project that will promote sustainable redevelopment of Sri Lanka's East Coast through better management of its natural resources. It will focus on environmental protection and poverty reduction through improved management of fisheries and coastal ecosystems. The TA will be implemented in two phases. A broad-based plan for the sustainable management of natural resources along the East Coast will be prepared during the first phase.,TRUE
46225-001,Climate Resilience and Green Growth in the Upper Marikina River Basin Protected Landscape - Demonstrating the Eco-town Framework,Philippines,Sovereign,Technical Assistance,Closed,8111,16/07/2012,7/16/12,"450,000.00",,"Agriculture, natural resources and rural development | Energy | Industry and trade | Transport | Water and other urban infrastructure and services","Water-based natural resources management | Energy efficiency and conservation | Small and medium enterprise development | Road transport (non-urban) | Urban policy, institutional and capacity development | Urban water supply",,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,,https://www.adb.org/projects/46225-001/main,https://www.adb.org/projects/46225-001/main,"The proposed TA includes (i) creation of a ""green growth road map"" for the Upper Marikina River Basin Protected Landscape based on local circumstances, political leadership, the capacity for change and priorities of stakeholders; (ii) preparation of an inventory of greenhouse gas (GHG) emissions, assessment of vulnerability to climate change, and economic valuation of ecosystem services; (iii) identification of priority interventions to respond to the impacts of climate change and trigger green growth; (iv) development of local climate change action plans (LCCAP) that can be integrated into comprehensive development plans (CDPs) of the concerned LGUs; and (v) piloting of selected adaptation and green growth measures.",TRUE
38560-012,Second Rural Water Supply and Sanitation Sector Project,Cambodia,Sovereign,Technical Assistance,Closed,7098,16/07/2008,7/16/08,"500,000.00",,"Agriculture, natural resources and rural development",Rural sanitation | Rural water supply services,B,A,C,Southeast Asia Department,Ministry of Rural Development,"Jain, Anupma",,,,https://www.adb.org/projects/38560-012/main,https://www.adb.org/projects/38560-012/main,,TRUE
35183-012,Sustainable Aquaculture for Poverty Reduction,Indonesia,Sovereign,Technical Assistance,Closed,4148,16/07/2003,7/16/03,0,,"Agriculture, natural resources and rural development",Fishery,B,,,Southeast Asia Department,Directorate General for Aquaculture,Weidong Zhou,,,,https://www.adb.org/projects/35183-012/main,https://www.adb.org/projects/35183-012/main,"The main objective of the proposed TA study is to assist Indonesia government in preparing an investment project for adoption of technologies of priority fish species and system for aquaculture and management with the aims to (i) increase the aquaculture productivities and incomes of fishers and fish farmers in the coastal and inland areas; (ii) control the aquaculture pollutions and improve the aquaculture system and environment; and (iii) strengthen the technology dissemination and support services to aquaculture sector, particularly to the poor fish farmers. The scope of TA will be (i) conduct of feasibility studies on the proposed aquaculture development project from technical, economical, financial, social and environmental aspects; (ii) assessment of institutional capacity of proposed executing and implementing agencies to develop and implement the development project. The TA will also include the review of the government policy on the aquaculture development to recommend pro-poor investment program.",TRUE
39364-012,Community Water Storage and Irrigated Agriculture Development Project,Pakistan,Sovereign,Technical Assistance,Closed,4802,16/06/2006,6/16/06,"900,000.00",,"Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,A,C,A,Central and West Asia Department,Irrigation Department of the Government of Punjab,"Tambunan, Binsar P.",,,,https://www.adb.org/projects/39364-012/main,https://www.adb.org/projects/39364-012/main,"The technical assistance will prepare a sector-like project to increase social and economic development of the rural population in Barani areas of North West Frontier Province and Punjab by introducing sustainable irrigated agriculture and providing water for domestic and other uses. Subprojects to be financed under the ensuing investment project will comprise (i) small to medium dams and associated irrigation systems; (ii) other community water services; (iii) improved watershed management; and (iv) agricultural support services. Agreement will be reached on the scope, components, subproject selection criteria, environmental and social safeguard assurance and mitigation measures, cost, and financing and implementation arrangements for the project.",TRUE
39381-012,Agribusiness Development Project (formerly Perennial and Commercial Crop Development),Sri Lanka,Sovereign,Technical Assistance,Closed,4800,16/06/2006,6/16/06,"800,000.00",,"Agriculture, natural resources and rural development","Agro-industry, marketing, and trade",C,C,C,South Asia Department,Ministry of Agriculture Development,"Mongiorgi, Marzia",,,,https://www.adb.org/projects/39381-012/main,https://www.adb.org/projects/39381-012/main,,TRUE
33249-013,North East Province Coastal Community Development,Sri Lanka,Sovereign,Loan,Closed,2027,16/06/2004,6/16/04,"20,000,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,B,,,South Asia Department,Ministry of NationBuilding & Estate Infrastructure,"Salgado, Nissanka Amila Buddhika",,,,https://www.adb.org/projects/33249-013/main,https://www.adb.org/projects/33249-013/main,"The goal of the Project is to reduce proverty in vulnerable coastal communities in the three districts (Trincomalee, Batticoloa, and Ampara) of eastern Sri Lanka. The Project purpose is sustainable livelihood development and sound management of natural resources. The Project is organized into five components: (i) Coastal Resource Planning; (ii) Natural Resource Management and Development; (iii) Livelihood Improvement in Vulnerable Communities Outside the Special Management Areas; (iv) Provision of Fisheries Infrastructure; and (v) Project Implementation Support.",TRUE
46460-001,Climate-Resilient Coastal Protection and Management Project,India,Sovereign,Technical Assistance,Closed,8652,16/05/2014,5/16/14,0,,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,South Asia Department,Ministry of Water Resources,"Yadav, Rajesh",,,,https://www.adb.org/projects/46460-001/main,https://www.adb.org/projects/46460-001/main,"The TA is designed to support strengthening coastal resilience, coastal infrastructure, and communities to the adverse impacts of climate change. It will prepare adaptation guidelines towards effective mainstreaming of climate change into coastal protection and management. The TA is being designed to complement the ongoing $404 million ADB MFF 0049/Loan 2679-IND: Sustainable Coastal Protection and Investment Management Program (SCPMIP) comprising three tranches. The first tranche subprojects for $62.5 million is currently under implementation. The TA will ensure greater consideration of climate change impacts in the planning and design of the investments of the next two tranches and in overall coastal management in India. The TA will analyze climate change-related parameters and impacts mainly from existing literature, and prepare guidelines for climate adaptation applicable to the Indian coast. Mainstreaming of climate adaptation measures will primarily focus on the two focal states of Karnataka and Maharashtra that were selected for SCPMIP. In addition, the TA will support the upscaling of coastal climate change adaptation to central government, maritime states, union territories/islands through official endorsement of the guidelines, provision of awareness materials, and training in the application of the guidelines.",TRUE
42478-023,Supporting Implementation of Bangladesh Climate Change Strategy and Action Plan (Subproject 2),Bangladesh,Sovereign,Technical Assistance,Closed,8084,16/05/2012,5/16/12,"850,000.00",,"Agriculture, natural resources and rural development | Education","Agricultural policy, institutional and capacity development | Technical and vocational education and training",,,,South Asia Department,Ministry of Environment and Forest,"Ahmad, Zahir U.",,,,https://www.adb.org/projects/42478-023/main,https://www.adb.org/projects/42478-023/main,"ADB approved this C-CDTA on 16 March 2009 for Supporting Implementation of the Bangladesh Climate Change Strategy and Action Plan (BCCSAP) with an amount of $2million equivalent to the People's Republic of Bangladesh. The C-CDTA is financed by ADB, on a grant basis, from the Japan Special Fund, funded by the Government of Japan. The outcome of the C-CDTA is enhanced capacity of the MoEF and other relevant ministries and line agencies for project preparation, implementation, and policy formulation in relation to BCCSAP. ADB approved to implement the whole cluster TA within three TAs including subproject 1 (TA7273), subproject 2(TA8084) and subproject 3. The TA7273 (subproject1) of the cluster TA was approved on 27 April 2009 and closed on 30 September 2011. An amount of $680,000 was allocated for implementation of TA7273. The TA8084 (subproject 2) of the cluster TA was approved on 16 May 2012 and the closing date is 30 October 2014. ADB approved an equivalent amount of $850,000 for the implementation of TA8084. The whole TA cluster closing date is 30 June 2015. ADB mobilized four national consultants and three international consultants under the TA7273 (subproject-1) to accomplish the activities. The key reports prepared under the TA7273 includes capacity development action plan on climate change for implementing the BCCSAP, country specific top ten climate change project concepts on priority sectors for immediate and short term implementation, strategic energy plans and associated investments to ensure national energy security and lower greenhouse gas emissions, mainstreaming climate change in development planning and implementation in Bangladesh, etc. Some training modules were prepared and several training workshops were also organized under the TA7273. Moreover members of high-level government delegations have participated in 16th conference of parties (COP16) negotiation held in Cancun, Mexico and visited Australia and negotiated access to the Global Climate Fund. TA8084 includes (i) preparation of country specific climate proofing' guidelines for key prioritized sectors in line with the BCCSAP; (ii) formulation of sector-specific programs and projects and national climate change policy; (iii) preparation of the program for clean development mechanism (CDM) and Nationally Appropriate Mitigation Action (NAMA); (iv) capacity building and knowledge management for enhancement of operational effectiveness. Due to the nature of the TA, ADB may prepare a contract variation to TA8084 to accommodate outputs considered for subproject.",TRUE
38594-012,Guiyang Integrated Water Resources Management Project,"China, People's Republic of",Sovereign,Technical Assistance,Closed,4586,16/05/2005,5/16/05,"800,000.00",,"Agriculture, natural resources and rural development",Water-based natural resources management,A,A,A,East Asia Department,Guiyang Municipal People's Government,"Kobayashi, Yoshiaki",,,,https://www.adb.org/projects/38594-012/main,https://www.adb.org/projects/38594-012/main,"The Project aims to ensure the establishment of a long-term comprehensive water sector development plan that can be implemented within the capabilities of Guiyang Municipal Government (GMG) and policy framework for the sector. The outcome of the technical assistance is to assist GMG in developing an investment proposal to contribute to the development of the water resources sector within the context of a long-term, comprehensive plan for the establishment of an Integrated Water Resource Management system. The main outputs of the TA will be an investment proposal suitable for ADB financing, comprising (a) an outline long-term water sector investment plan for GMG for further development during Project implementation, (b) assessment of institutional capabilities to implement the investment plan, (c) training plan to strengthen institutional capacity, (d) criteria for the selection and appraisal of subprojects to undergo feasibility studies during Project implementation, and (e) a set of practical and operational guidelines for a range of participatory soil and water conservation measures and water saving practices, including an assessment of the potential of using economic pricing as an allocation tool. The TA will critically assess the local systems for determining technical, environmental, financial, economic and social feasibility of the investment plan, and suggest improvements to contribute to the overall development goals of GMG in relation to its long-term development plans for the water sector.",TRUE
53263-001,Achieving Water Sector Priorities in Asia and the Pacific under Strategy 2030,Regional,Sovereign,Technical Assistance,Active,9875,27/11/2019,11/27/19,"75,000.00",Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Irrigation | Rural flood protection | Water-based natural resources management | Urban flood protection | Urban sanitation | Urban water supply,,,,Sectors Group,Asian Development Bank,"Huizer, Tanya",,,,https://www.adb.org/projects/53263-001/main,https://www.adb.org/projects/53263-001/main,"This knowledge and support technical assistance, Achieving the Asian Development Bank's (ADB's) Water Sector Priorities in Asia and the Pacific Under Strategy 2030 (the TA), supports improvement in water resources management and water services delivery to ADB Developing Member Countries (DMCs)1 to help achieve the goals of Strategy 2030, and in particular Operational Priorities (i) Three Tackling climate change, building climate and disaster resilience, and enhancing environmental sustainability; (ii) Four Making cities more livable; and (iii) Five Promoting rural development and food security. The TA supports project design and implementation through specialists' inputs and/or other expert services starting from upstream work (pre-concept phase) all the way through transaction TA and project implementation. The TA resources prioritize complex and innovative projects that require complementary technical, policy, and institutional support from expert inputs during preparation and/or implementation. The TA also supports knowledge management and capacity development through initiatives that capture knowledge and share lessons with DMCs; peer-to-peer learning and other technical and management-related training; strategic partnerships and collaborations; analytical work; water assessments; water accounting in river basins, policy and investment dialogues, and knowledge product development. The TA serves as a fund channeling mechanism to make resources from the Water Financing Partnership Facility (WFPF) readily accessible to project teams for preparing and implementing innovative projects and helping generate and manage knowledge to inform the design, preparation, and implementation of better investment projects.",TRUE
40682-013,Integrated Renewable Biomass Energy Development Sector Project (formerly Rural Energy and Ecosystem Rehabilitation (Phase II)),"China, People's Republic of",Sovereign,Grant | Loan,Closed,0202 | 0203 | 2632,16/04/2010,4/16/10,"66,080,000.00","Heilongjiang Sheng, Henan Sheng, Jiangxi Sheng, Shandong Sheng","Agriculture, natural resources and rural development | Energy","Agro-industry, marketing, and trade | Renewable energy generation - biomass and waste",B,C,C,East Asia Department,Department of Agriculture-Heilongjiang Province,"Lu, Lanlan",,,,https://www.adb.org/projects/40682-013/main,https://www.adb.org/projects/40682-013/main,"The project will improve the performance of the biogas subsector through the demonstration of an integrated renewable biomass energy system in the poor rural areas of Heilongjiang, Henan, Jiangxi, and Shandong provinces, where the densities of livestock are almost triple the national average and the pollution problems from livestock farms and agro-enterprises are severe. There are 66 national poverty counties and 131 provincial poverty counties in the four participating provinces, with a poor population of about 9 million. About 43% of the project's subprojects are located in these poor counties. The project consists of four components: (i) sustainable development and demonstration of commercial practices of medium- and large-scale biogas plants (MLBGPs), (ii) effective utilization of biogas sludge in eco-farming, (iii) capacity development for improved sector performance, and (iv) project implementation support. The project will assist about 118 medium-sized and large livestock farms and agro-enterprises in constructing biogas plants, and introduce a new technical specification to the plant design. The new specification involves the installation of high-temperature flares in the MLBGPs to minimize the methane gas emissions during maintenance and emergencythis has been a common standard in developed countries but not yet in the PRC. The project will also demonstrate business models of centralized biogas plant systems to improve their cost-effectiveness, and technical and environmental performances; and assist 25 subprojects to overcome barriers to connect to local power grids to maximize the benefits of biogas power generation. The project will also support subprojects in manufacturing of bio-fertilizers from the biogas sludge and in eco-farming to achieve the government's goal of 'circular economy, which is to reuse and recycle organic waste in rural areas, and improve livelihoods in the project area. Capacity development activities will be carried out to (i) strengthen technical service systems and human resources for biogas plant design, operation, and maintenance in the participating provinces; (ii) demonstrate best design and operational practices of MLBGPs; and (iii) develop a performance monitoring system to improve the subsector performance. The project will also support the MLBGPs in connecting and selling electricity to the local power grids. The revenue of the power sale will help improve the financial viability of the MLBGPs. The project will provide consulting services to assist in the review of subproject preparation and implementation to ensure timely and effective project implementation.",TRUE
40617-012,Supporting Water Operators' Partnership in Asia,Regional,Sovereign,Technical Assistance,Closed,6396,16/04/2007,4/16/07,"2,000,000.00",Regional,"Agriculture, natural resources and rural development","Rural water policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Baird, Alan",,,,https://www.adb.org/projects/40617-012/main,https://www.adb.org/projects/40617-012/main,"The project will contribute to attainment of the Millenium Development Goals by enhancing service performance of water and wastewater utilities, enabling them to reach more people and improve their services to existing clients.The TA will support the launch, and operation of the Water Operators Partnerships (WOPs) in Asia. Specifically, it will support activities under the already existing Southeast Asia Water Utilities Network (SEAWUN), facilitate the design and launch of South Asia Water Utilities Network (SAWUN), including support its activities for an initial period of 2 years, and will support the establishment of a similar network in Central and East Asia. The TA will also examine ways of putting the activities of the networks on a sustainable footing over a 5-7 year time frame. WOPs Asia will respond to the Compendium of Action developed by United Nations Secretary General's Advisory Board on Water and Sanitation which calls for breakthrough action in order to achieve the Millennium Development Goal targets. On another, more substantive level, the program will enhance utility performance through a structured program of peer support, including support to benchmarking, capacity development, and twinning programs.",TRUE
42478-012,Supporting Implementation of the Bangladesh Climate Change Strategy and Action Plan (Cluster TA),Bangladesh,Sovereign,Technical Assistance,Closed,1,16/03/2009,3/16/09,"2,000,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Urban policy, institutional and capacity development",,,,South Asia Department,Ministry of Environment and Forest,"Chowdhury, Farhat Jahan",,,,https://www.adb.org/projects/42478-012/main,https://www.adb.org/projects/42478-012/main,,TRUE
40616-012,Supporting the Asia Pacific Water Forum,Regional,Sovereign,Technical Assistance,Closed,6388,16/03/2007,3/16/07,"1,000,000.00",Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Seetharam, K. E.",,,,https://www.adb.org/projects/40616-012/main,https://www.adb.org/projects/40616-012/main,,TRUE
43114-012,National Integrated Water Resources Management Support Project,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,7780,16/02/2011,2/16/11,"300,000.00",,"Agriculture, natural resources and rural development | Education",Land-based natural resources management | Water-based natural resources management | Tertiary,,,,Southeast Asia Department,Ministry of Natural Resources and Environment,"Teoh, Su Chin",,,,https://www.adb.org/projects/43114-012/main,https://www.adb.org/projects/43114-012/main,"This capacity developmment project will provide a road map for achieving effective IWRM and provide the Department Water Resources, Ministry of Natural Resources and the Environment with a nationally owned project as a basis for (i) strategic planning in the sector; (ii) human resources development; (iii) the institutional upgrading of water resource data collection, management, and processing; (iv) work and budget planning; and (v) the coordinated mobilization of resources from the government and external development partners.",TRUE
43082-012,Cotton Processing and Market Development Project,Tajikistan,Sovereign,Technical Assistance,Closed,7236,16/02/2009,2/16/09,"225,000.00",,"Agriculture, natural resources and rural development","Agricultural production | Agro-industry, marketing, and trade",,,,Central and West Asia Department,Office of the President,"Tambunan, Binsar P.",,,,https://www.adb.org/projects/43082-012/main,https://www.adb.org/projects/43082-012/main,"Preparation of business plan and public private partnership (PPP) transaction structure, in a format suitable for preparation of the RRP. Design SPSP selection process, and undertake due diligence and SPSP selection. Legal and procurement documentation required for advanced actions and project effectiveness Updated sector analysis Selection criteria for MFOs Economic and financial analysis Monitoring and Evaluation framework Social analysis and classification Environmental issues and classification 9. Project Administration manual",TRUE
31501-013,Secondary Towns and Rural Community-Based Water Supply and Sanitation,Sri Lanka,Sovereign,Loan,Closed,1993 | 2757 | 2758,16/01/2003,1/16/03,"77,900,000.00","Anuradhapura District, Batticaloa, Hambantota, Matara, Mutur, Polonnaruwa, Polonnaruwa District","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural sanitation | Rural water policy, institutional and capacity development | Rural water supply services | Urban policy, institutional and capacity development | Urban sanitation | Urban water supply",B,,,South Asia Department,National Water Supply and Drainage Board,"Sinclair, Nirojan Donald",,,,https://www.adb.org/projects/31501-013/main,https://www.adb.org/projects/31501-013/main,"The overall goal of the Project is to contribute to poverty alleviation efforts and to promote human development, by improving access to safe water and sanitation of poor populations, thereby decreasing water borne diseases and reducing the amount of resouces spent in these activities. The Project objectives are to (a) provide safe water to 969,000 people and sanitation to 171,500 in five urban areas and in the rural districts of Polonnaruwa and Anuradhapura; and (b) increase the capacity of the Government of Sri Lanka to provide safe water by institutional strengthening of the water sector institutions.",TRUE
53035-001,Sustainable Fodder Management,Mongolia,Sovereign,Technical Assistance,Closed,9887,2/12/19,12/2/19,0,Nation-wide,"Agriculture, natural resources and rural development",Livestock,,,,Sectors Group,"Ministry of Food, Agriculture, and Light Industry (MOFALI)","Cai, Xueliang",,,,https://www.adb.org/projects/53035-001/main,https://www.adb.org/projects/53035-001/main,"The proposed knowledge and support technical assistance (TA) will support the Government of Mongolia to develop a sustainable and economically viable fodder industry. The TA will raise technical capacity and increase knowledge to address a range of issues including the fodder demand-supply gap, requirements for quality standards for production, processing, storage, and supply. The Government of Mongolia requested a TA from the Asian Development Bank (ADB) to support the sustainable development of its fodder industry. The TA is included in the country operations business plan, 2020-2021.",TRUE
52021-001,"Strengthening Capacity on Disaster Risk Assessment, Reduction, and Transfer Instruments in Mongolia",Mongolia,Sovereign,Technical Assistance,Active,9880,2/12/19,12/2/19,0,Nation-wide,"Agriculture, natural resources and rural development | Finance","Agricultural policy, institutional and capacity development | Insurance and contractual savings",,,,Sectors Group,National Emergency Management Agency,"Yanoma, Yukitsugu",,,,https://www.adb.org/projects/52021-001/main,https://www.adb.org/projects/52021-001/main,"The proposed knowledge and support technical assistance (TA) will help the National Emergency Management Agency (NEMA) of Mongolia develop the legal, policy, and institutional frameworks needed to strengthen disaster risk assessments and promote disaster risk reduction (DRR) and disaster risk financing and insurance in Mongolia. The TA will improve the capacity and ability of NEMA, ministries, local government officials, and communities to understand and better plan for disaster risks and respond to disasters. The knowledge and outputs generated through the TA will also provide evidence-based policy recommendations and a draft law for disaster insurance as a key financial risk management tool.",TRUE
51159-002,Irrigated Agriculture Improvement Project,Cambodia,Sovereign,Grant | Loan,Active,0681 | 0682 | 3877,4/12/19,12/4/19,"119,160,000.00","Battambang Province, Kampong Cham Province, Kampong Thom, Takeo","Agriculture, natural resources and rural development",Irrigation,A,C,B,Sectors Group,Ministry of Water Resources and Meteorology,"Long, Piseth Vou",,,,https://www.adb.org/projects/51159-002/main,https://www.adb.org/projects/51159-002/main,"The project will assist the Government of Cambodia to (i) modernize and improve the climate and disaster resilience of four irrigation systems in Battambang, Kampong Cham, Kampong Thom, and Takeo provinces to supply water to 43,500 hectares (ha) for 291,847 people, of whom 148,288 (51%) are women; (ii) ensure sustainability of these irrigation schemes by strengthening the institutional and financial capacity of the government staff and farmer water user communities (FWUC) in operation and maintenance (O&M); (iii) improve farming practices for increased agricultural productivity and crop diversification; and (iv) establish a national water resources data management center (NWRDMC), a water resources information system (WRIS), and an irrigation asset management system for better water resources management, planning, operations, and investment.",TRUE
53068-001,Promoting Action on Plastic Pollution from Source to Sea in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Active,44,5/12/19,12/5/19,"1,840,000.00",China - Nation-wide; Indonesia - Nation-wide; Myanmar - Nation-wide; Philippines - Nation-wide; Sri Lanka - Nation-wide; Thailand - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services",Rural solid waste management | Urban solid waste management,,,,Climate Change and Sustainable Development Department,Asian Development Bank,"Baker, James G.",,,,https://www.adb.org/projects/53068-001/main,https://www.adb.org/projects/53068-001/main,The knowledge and support technical assistance (KSTA) cluster will help developing member countries (DMCs) of the Asian Development Bank (ADB) deliver their commitments to reduce marine plastic pollution from 'source to sea. It will help (i) prepare action plans; (ii) form policy and regulations to encourage a circular economy; and (iii) prepare investments in integrated solid waste management and circular economy systems. It will also promote and facilitate regional cooperation and knowledge-sharing.,TRUE
51359-001,Punjab Water Resources Management Projects,Pakistan,Sovereign,Loan,Active,6027,6/12/19,12/6/19,"8,320,000.00",Punjab,"Agriculture, natural resources and rural development",Agricultural production | Irrigation,,,,Sectors Group,Irrigation Department of the Government of Punjab,"Zhou, Yaozhou",,,,https://www.adb.org/projects/51359-001/main,https://www.adb.org/projects/51359-001/main,"The project readiness financing will help review the government's priority projects and develop project pipelines for ADB financing. It will improve the readiness of water resources management priority projects by (i) completing the detailed design, and procurement and safeguards documents met with ADB requirements and procedures of the five priority projects; and (ii) improving the capacity of executing and implementing agencies for project implementation readiness. Thus, the project will contribute to the improvement of the irrigation infrastructure that will enhance water availability and increase productivity of the agriculture sector in the Punjab, and subsequently alleviating rural poverty, and improving food security and economic growth.",TRUE
